Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,23,1482.815563,10185.58073,3836.399479,8269.575927924117,3375.324973824231,6242.125528251658,0.0,,,168.0
,,,,24,1382.6085240000002,9759.965932,3686.232607,8003.91995015172,3266.8943524675733,6041.600377380711,0.0,,,742.8901734104048
,,,,25,1336.337368,9425.176437,3549.438195,7729.280152671226,3154.7968791120506,5834.293968216727,0.0,,,168.0
,,,,26,1220.367328,8657.219993,3256.3166710000005,7252.833994579818,2960.329758898763,5474.658026521424,0.0,,,168.0
,,,,27,1153.541192,8078.254711,3037.233877,6805.615083059001,2777.792084176471,5137.083692764531,0.0,,,168.0
,,,,28,1121.1095770000004,7794.435517,2945.694870000001,6561.923495532354,2678.3264878195805,4953.13792664807,0.0,,,412.7167630057804
,,,,29,1106.152058,7685.726833999999,2915.865766,6423.2615159967945,2621.7299650322548,4848.471678970954,0.0,,,168.0
,,,,30,1105.349043,7710.710724,2925.121626,6376.608772565108,2602.68809742322,4813.256780011678,0.0,,,168.0
,,,,31,1142.101579,7948.838492,3019.754071000001,6459.780398471858,2636.635577739432,4876.037233788714,0.0,,,
,,,,32,1260.373291,8674.173255,3318.023048,6854.185068918646,2797.616496900801,5173.745784180558,0.0,,,
,,,,33,1459.182684,9991.220565000003,3851.8256409999995,7694.500162448466,3140.601015791922,5808.0409817596155,0.0,,,
,,,,34,1542.143251,10684.641194,4118.2089289999985,8363.695185718832,3413.740859248243,6313.16958503293,0.0,,,
,,,,35,1564.3513990000001,10798.380206000002,4132.617308999998,8576.681583147587,3500.6737700276954,6473.938146824723,0.0,,,
,,,,36,1565.3246780000006,10745.721699000002,4090.4407090000004,8674.894101607168,3540.760368081581,6548.0719203112585,0.0,,,
,,,,37,1546.4897959999994,10758.239124,4061.647217,8710.396128718045,3555.2509392756983,6574.869922006264,0.0,,,
,,,,38,1529.325144,10702.513243999998,3997.872433,8664.792658708755,3536.6373449926305,6540.447046298621,0.0,,,
