Time_index,Nuclear,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT,CCGT,CCGT,CCGT,CCGT,CCGT,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat
11,1,0.3814933143446813,0.6532035225490526,0.6497927389333442,0.4928583567377602,0.5037447836919731,0.4900733201104453,1,0.6052731209280153,0.5011370749774583,0.6881160638305783,0.2882871726610055,0.16531571186805294,0.12464494678388145,1,0.589537054684646,0.6062614829396328,0.7024637431007799,0.12382312322285073,0.0707877596052994,0.03149069477207538,1,0.7268984847908788,0.14197066108616946,0.15775410555097982,0.02665420846042541,1,0.5982225571188349,0.5173782631237108,0.7045282894502288,0.15429450887017246,0.046073750752123804,0.03474468938370048,1,0.7138874646574104,0.4116105403842905,0.7111218368610117,0.1084854470634823,0.09825949525753916,0.03801866638307053,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4161394596904069,0.15616258642697214,1,1,1,1,1,1,1,1,1,1,1
12,1,0.3814933143446813,0.6532035225490526,0.6260425156237063,0.5273796796965335,0.5524579497645687,0.5324984535584489,1,0.6052731209280153,0.5011370749774583,0.6608379349909843,0.2974757671468602,0.19221487744490254,0.15188721543049544,1,0.589537054684646,0.6062614829396328,0.6762841015665038,0.1270987024887465,0.07827218993579868,0.03947558766009042,1,0.7018048542358638,0.13621545599832824,0.16151682396870287,0.015667970666198114,1,0.5982225571188349,0.5173782631237108,0.6737560910651643,0.1493452523782935,0.055838003132056224,0.05452632360400245,1,0.7138874646574104,0.4116105403842905,0.6733784745239849,0.09576415452931432,0.11617145887641007,0.046021350429296864,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4431532150580294,0.14270299965211156,1,1,1,1,1,1,1,1,1,1,1
13,1,0.3814933143446813,0.6532035225490526,0.6407354685796884,0.5657448531172935,0.5834458751471945,0.5539599275105511,1,0.6052731209280153,0.5011370749774583,0.6736015078562982,0.29948787150687506,0.20791874484302456,0.17807348503168002,1,0.589537054684646,0.6062614829396328,0.6865661529294457,0.14315161921608122,0.09668334232365056,0.05691574473251236,1,0.7113469573325696,0.18419539302276675,0.2089120476054423,0.03444568320604083,1,0.5982225571188349,0.5173782631237108,0.6823998609100971,0.14665488203481236,0.06673293003378394,0.0664484514132605,1,0.7138874646574104,0.4116105403842905,0.6754160616223689,0.09783184515921113,0.1369189931573513,0.0629697263622773,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4169179585576432,0.1530066768157535,1,1,1,1,1,1,1,1,1,1,1
14,1,0.3814933143446813,0.6532035225490526,0.6764970720005279,0.5977886072437644,0.5980329165733895,0.5569469621129925,1,0.6052731209280153,0.5011370749774583,0.7124666778794735,0.30827749362181656,0.2254389688661827,0.21037252403340845,1,0.589537054684646,0.6062614829396328,0.7209642038090281,0.16226115239527725,0.12705090616066092,0.08342784146468757,1,0.7427560878655458,0.2061151058942116,0.22408369047726234,0.06663207789962773,1,0.5982225571188349,0.5173782631237108,0.7216254741247157,0.1516598236896577,0.07859934141123749,0.0777959277681613,1,0.7138874646574104,0.4116105403842905,0.7125121565677004,0.09606100861836793,0.1567787177921191,0.0729435524888153,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4384456528682275,0.15866071896233686,1,1,1,1,1,1,1,1,1,1,1
15,1,0.3814933143446813,0.6532035225490526,0.6917659883279161,0.6138944093804929,0.6028210423832834,0.5527274874227658,1,0.6052731209280153,0.5011370749774583,0.7374775317397618,0.31349930969893824,0.231767717715526,0.2315073662572727,1,0.589537054684646,0.6062614829396328,0.7452699934618132,0.1664843294507497,0.12857522814369438,0.0707586220526162,1,0.7626430595637179,0.24795515189786066,0.21111102088039574,0.09592906487661426,1,0.5982225571188349,0.5173782631237108,0.7557924769449924,0.14056588462045466,0.0838021815049811,0.0903192731933185,1,0.7138874646574104,0.4116105403842905,0.7512068380275578,0.09753365564143457,0.17326416083843427,0.0793639777156655,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4459790314016824,0.18828662091730536,1,1,1,1,1,1,1,1,1,1,1
16,1,0.3814933143446813,0.6532035225490526,0.5141294345191729,0.5904605568218142,0.5630800235894282,0.4834662596436702,1,0.6052731209280153,0.5011370749774583,0.6484584355255733,0.32231841786956444,0.2369957641972779,0.2349303130512351,1,0.589537054684646,0.6062614829396328,0.6663890741110171,0.15131430226095774,0.11181339325146973,0.07430195459497525,1,0.6780605557785017,0.280168648263879,0.21555246905744824,0.08341120446642991,1,0.5982225571188349,0.5173782631237108,0.6991343445465249,0.1508857528639373,0.1050723657968244,0.1094927728390494,1,0.7138874646574104,0.4116105403842905,0.7193025689241004,0.09751424831242644,0.18287343914287232,0.08263750358512335,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.490358277784734,0.2248022207190019,1,1,1,1,1,1,1,1,1,1,1
17,1,0.3814933143446813,0.6532035225490526,0.12962900136124378,0.6910090107074829,0.6408512533131987,0.5201776090236201,1,0.6052731209280153,0.5011370749774583,0.2375425892542651,0.3984278307216157,0.2875146125733593,0.2506392835368845,1,0.589537054684646,0.6062614829396328,0.2638720316830609,0.18556440590053,0.14049380259996885,0.08415448134077995,1,0.2690695219037488,0.2758823724666999,0.27375733869665203,0.11486452426628414,1,0.5982225571188349,0.5173782631237108,0.3140732581403719,0.15345987752199805,0.11705841536152027,0.14369588238383835,1,0.7138874646574104,0.4116105403842905,0.3769488707221844,0.10107081438749907,0.1831450524511785,0.07128511120545028,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5449104919860734,0.2428126018356564,1,1,1,1,1,1,1,1,1,1,1
18,1,0.3814933143446813,0.6532035225490526,0.0,0.7906356729498374,0.7332557911534467,0.6001000222561317,1,0.6052731209280153,0.5011370749774583,0.01,0.5599370694522665,0.4463148720056032,0.30020380325701346,1,0.589537054684646,0.6062614829396328,0.010781929098925393,0.31133729841207625,0.2333106531916473,0.13562371713726773,1,0.011176453232636429,0.3936426334601225,0.4091765667083706,0.2634451670763706,1,0.5982225571188349,0.5173782631237108,0.01856563860861131,0.2718129101572275,0.2171903813306216,0.2432448494106105,1,0.7138874646574104,0.4116105403842905,0.03413290173977596,0.17818581361199054,0.29465735286804584,0.1378976904923988,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6775638006982331,0.24242605989316965,1,1,1,1,1,1,1,1,1,1,1
19,1,0.3814933143446813,0.6532035225490526,0.0,0.8151865185132086,0.7691047980160537,0.6196928015411076,1,0.6052731209280153,0.5011370749774583,0.0,0.6526045547053081,0.4992338691344771,0.3014147800972099,1,0.589537054684646,0.6062614829396328,0.0,0.4530244170781376,0.36160723749738455,0.18718769764182988,1,0.0,0.5105864927755355,0.5089314969599547,0.3902132093314456,1,0.5982225571188349,0.5173782631237108,0.0,0.35747802797567185,0.2773525954705083,0.2777681104607518,1,0.7138874646574104,0.4116105403842905,0.0,0.2625009288334633,0.3674784838026665,0.182191403011042,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7563095091100981,0.2535072629863635,1,1,1,1,1,1,1,1,1,1,1
20,1,0.3814933143446813,0.6532035225490526,0.0,0.8129530753988852,0.7663134355257203,0.6077351632033503,1,0.6052731209280153,0.5011370749774583,0.0,0.6832655465512538,0.5000324431418888,0.2960328599209102,1,0.589537054684646,0.6062614829396328,0.0,0.5287274921378453,0.4367646168081185,0.21327289774356686,1,0.0,0.6266796461721555,0.6026333314751551,0.4709639371935809,1,0.5982225571188349,0.5173782631237108,0.0,0.42111291057889777,0.2937491346174627,0.2468786424137641,1,0.7138874646574104,0.4116105403842905,0.0,0.347598624211895,0.3923919142699446,0.1861227885004613,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7661453481802507,0.28393329589463345,1,1,1,1,1,1,1,1,1,1,1
